date,actual,predicted,residual
2024-04-27,75.9,64.66419382313197,11.235806176868039
2024-04-28,77.86,62.49771901978884,15.36228098021116
2024-04-29,94.57,60.551438493804596,34.0185615061954
2024-04-30,127.5,43.532326543812296,83.9676734561877
2024-05-01,122.0,56.98103582633259,65.01896417366741
2024-05-02,153.83,55.32608089328869,98.50391910671132
2024-05-03,121.52,49.8125581412083,71.7074418587917
2024-05-04,157.49,73.82727882235606,83.66272117764395
2024-05-05,103.65,82.4417841665084,21.208215833491607
2024-05-06,86.88,108.72575989301556,-21.84575989301557
2024-05-07,115.57,115.81089754738636,-0.2408975473863677
2024-05-08,118.86,133.65910292992484,-14.799102929924842
2024-05-09,95.0,116.80370859605094,-21.80370859605094
2024-05-10,114.96,135.1007009328228,-20.14070093282281
2024-05-11,134.94,108.35280054206437,26.587199457935625
2024-05-12,156.45,119.3154526225459,37.13454737745408
2024-05-13,126.34,98.17300830040065,28.16699169959935
2024-05-14,108.1,100.6346267345215,7.46537326547849
2024-05-15,133.35,86.48988571920933,46.86011428079067
2024-05-16,114.26,105.95292973742237,8.30707026257764
2024-05-17,158.03,112.24240270134824,45.78759729865176
2024-05-18,125.18,109.05004983502931,16.129950164970694
2024-05-19,95.22,123.54809334798827,-28.328093347988272
2024-05-20,75.15,100.26320068620893,-25.113200686208927
2024-05-21,75.25,109.76015965910341,-34.51015965910341
2024-05-22,84.83,101.3581209722574,-16.528120972257398
2024-05-23,91.93,93.75480758072673,-1.824807580726727
2024-05-24,120.85,92.48374474922925,28.36625525077075
2024-05-25,127.62,84.29333110175618,43.326668898243824
2024-05-26,103.57,80.8059927454056,22.76400725459439
2024-05-27,81.19,78.21828830330915,2.9717116966908463
2024-05-28,97.29,88.88048549864492,8.40951450135509
2024-05-29,138.23,107.3704128144735,30.859587185526493
2024-05-30,59.75,101.7397628154029,-41.9897628154029
2024-05-31,72.46,86.924092461339,-14.464092461339007
2024-06-01,100.2,85.7011211077537,14.498878892246296
2024-06-02,174.68,107.557036609696,67.12296339030401
2024-06-03,95.89,98.7629692123904,-2.8729692123904016
2024-06-04,79.87,84.67163927726067,-4.801639277260662
2024-06-05,63.06,80.53155623970105,-17.471556239701044
2024-06-06,60.8,107.69359846400977,-46.89359846400977
2024-06-07,59.48,92.43828385941804,-32.95828385941804
2024-06-08,116.26,109.19949727885704,7.060502721142967
2024-06-09,84.83,46.39923863238911,38.43076136761089
2024-06-10,88.39,58.338588761325774,30.051411238674227
2024-06-11,119.33,54.63519220360967,64.69480779639034
2024-06-12,75.45,84.3114177389229,-8.861417738922896
2024-06-13,78.72,40.3221288361514,38.3978711638486
2024-06-14,73.52,53.49090065119494,20.029099348805055
2024-06-15,119.43,83.04138509862128,36.38861490137873
2024-06-16,136.96,62.32354557815924,74.63645442184077
2024-06-17,54.47,65.11355734186044,-10.643557341860443
2024-06-18,75.64,65.5326683037592,10.107331696240806
2024-06-19,84.39,77.84617058063192,6.54382941936808
2024-06-20,76.36,108.50212931264508,-32.14212931264508
2024-06-21,62.69,74.26600282150041,-11.57600282150041
2024-06-22,83.78,52.77464454977182,31.00535545022818
2024-06-23,60.63,51.84364195195101,8.786358048048996
2024-06-24,45.35,55.92593267229569,-10.575932672295686
2024-06-25,203.38,79.7729859939997,123.6070140060003
2024-06-26,1000.0,78.10391653652285,921.8960834634771
2024-06-27,58.0,60.54975435871717,-2.5497543587171734
